Player,Team,GP,MPG,FGM,FGA,FG%,THPM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Matthew Hurt,DUKE,24,32.8,6.8,12.3,0.556,2.3,5.2,0.444,2.3,3.2,0.724,1.2,3.2,1.5,4.7,6.1,1.4,0.7,0.7,18.3
Justin Champagnie,PITT,20,34.4,6.7,14.1,0.477,1.1,3.7,0.311,3.5,4.8,0.711,1.5,1.8,3.4,7.7,11.1,1.6,1.2,1.2,18
Buddy Boeheim,SU,25,36.2,6.4,14.9,0.433,3.1,8,0.383,1.8,2.1,0.849,1.6,1.6,0.6,2.1,2.6,2.6,1.3,0,17.8
Moses Wright,GT,25,35.4,7,13.2,0.53,0.5,1.2,0.414,2.9,4.4,0.658,1.6,2.6,3.2,4.9,8,2.3,1.5,1.6,17.4
Isaiah Wong,UM,27,35.4,5.7,13.3,0.431,1.9,5.3,0.347,3.8,4.7,0.803,1.8,1.6,0.8,4,4.8,2.4,1.1,0.5,17.1
Carlik Jones,U of L,19,37.6,5.9,14.8,0.402,0.9,2.9,0.321,3.9,4.8,0.815,2.1,1.8,0.7,4.2,4.9,4.5,1.4,0.1,16.8
Devon Daniels,NCST,12,33.1,6.3,13.2,0.481,1.6,4.6,0.345,2.2,3.4,0.659,2.6,2.1,1,4,5,3.1,1.7,0.2,16.5
Sam Hauser,UVA,25,34.2,5.9,11.7,0.503,2.5,6,0.417,1.7,1.9,0.896,1,1.6,0.8,6,6.8,1.8,0.6,0.4,16
Chris Lykes,UM,2,28.5,4,11,0.364,2.5,5.5,0.455,5,5.5,0.909,1.5,2,0,4,4,5.5,2,0.5,15.5
Jose Alvarado,GT,26,37.1,5.4,10.8,0.504,1.8,4.5,0.39,2.6,3.1,0.838,2,2.3,0.7,2.7,3.5,4.1,2.8,0,15.2
Keve Aluma,VT,22,30.6,5.4,11,0.49,0.9,2.6,0.351,3.5,4.9,0.722,1.9,2.4,2.5,5.4,7.9,2.2,0.7,1.3,15.2
Michael Devoe,GT,26,34.9,5.2,11.5,0.456,2.2,5.6,0.4,2.3,3.1,0.753,2.6,1.7,0.7,3.6,4.3,3.4,1.3,0.3,15
Prentiss Hubb,ND,26,36.8,5.2,13.2,0.392,2.5,7.3,0.342,1.8,2.3,0.78,3.2,1.6,0.7,2.5,3.2,5.8,0.7,0.3,14.6
"Jay Heath, Jr.",BC,19,33.7,5.4,13.2,0.41,2.2,6.3,0.35,1.5,1.9,0.778,2.1,1.7,0.7,2.4,3.1,1.8,0.8,0.1,14.5
Au'Diese Toney,PITT,16,34.9,4.8,10.4,0.464,1.1,3.3,0.34,3.6,5.4,0.667,2.4,2.1,2.3,3.6,5.9,2.3,1.2,0.1,14.4
Xavier Johnson,PITT,18,28.6,4.4,10.4,0.426,1.4,4.3,0.321,3.9,4.9,0.787,3.3,3.1,0.5,2.9,3.4,5.7,1.3,0.2,14.2
Quincy Guerrier,SU,28,32.9,5.2,10.6,0.49,0.8,2.6,0.311,2.4,3.6,0.673,1.1,2.8,2.8,5.7,8.4,0.8,0.8,1.1,13.7
Aamir Simms,CLEM,24,29.7,5.2,9.7,0.532,0.9,2.3,0.4,2.2,2.6,0.825,2.4,2.9,2.5,4,6.4,2.7,0.9,0.7,13.4
Wynston Tabbs,BC,12,27.1,4.4,10.8,0.408,2.2,5.7,0.397,2.2,2.8,0.794,2.7,2.5,0.2,2.4,2.7,1.8,0.4,0.1,13.3
Kameron McGusty,UM,20,33.2,4.9,11,0.445,1.2,3.8,0.32,2.3,2.8,0.821,2.5,1,0.5,3.2,3.8,2.8,1.2,0.1,13.3
Alan Griffin,SU,28,29.2,4.7,10.9,0.431,2,5.6,0.359,1.9,2.1,0.897,2.1,1.9,1.6,4.2,5.8,1.8,1.2,1.6,13.3
Nate Laszewski,ND,26,31.2,4.6,7.8,0.589,1.4,3.2,0.434,2.7,3.8,0.71,1.1,2.1,1.3,6,7.3,0.8,0.5,0.6,13.3
D.J. Steward,DUKE,24,30.8,4.7,11,0.426,1.8,5.2,0.341,1.8,2.2,0.811,2,1.2,1.2,2.8,4,2.4,1.1,0.6,13
Jay Huff,UVA,25,27.1,5.1,8.7,0.585,1.2,3,0.387,1.6,2,0.837,1.3,2.6,1.7,5.4,7.1,1,0.5,2.6,13
Jericole Hellems,NCST,25,31.4,4.8,10.5,0.454,1.2,3.3,0.378,2.2,2.8,0.771,2,2.8,1.4,3.6,5,1.7,1.1,0.2,12.9
Daivien Williamson,WF,22,34.3,4.4,9.7,0.455,1.6,4.3,0.372,2.5,3.2,0.786,2,1.3,0,2.1,2.1,2.5,1.3,0,12.9
David Johnson,U of L,19,35.1,4.7,11.5,0.411,1.7,4.4,0.386,1.5,2.1,0.7,3.2,2.7,0.9,4.9,5.8,3.2,1.1,0.3,12.6
D.J. Funderburk,NCST,21,26.3,4.3,7.7,0.562,0.1,0.7,0.2,3.8,4.8,0.792,1.2,2.4,2.2,3.3,5.6,0.3,0.7,0.5,12.6
Armando Bacot,UNC,29,22.7,4.7,7.5,0.628,0,0,0,2.9,4.3,0.664,1.4,2.2,3.2,4.7,7.8,0.8,0.7,0.9,12.3
Tyrece Radford,VT,18,32.2,4.6,8.3,0.55,0.4,1.3,0.292,2.7,3.6,0.766,1,1.6,1.9,4,5.9,2.1,0.6,0.4,12.2
M.J. Walker,FSU,24,29,4,9.1,0.436,1.8,4.3,0.423,2.5,3.1,0.797,2.6,2.2,0.5,2,2.5,2.5,0.9,0.4,12.2
Raiquan Gray,FSU,25,26.2,4.4,8.4,0.517,0.3,1.2,0.267,2.8,3.7,0.763,2.2,2.6,1.5,4.9,6.4,2.2,1.2,0.7,11.9
Dane Goodwin,ND,26,33.3,4.2,9.8,0.431,1.5,4.2,0.352,1.9,2.2,0.862,1,1.2,0.8,4.3,5.2,1.7,0.5,0.2,11.8
Jordan Usher,GT,26,29.5,4.7,9.3,0.5,0.9,3.2,0.286,1.4,2.1,0.667,2.2,2.8,0.6,3.6,4.2,2.7,1.6,0.7,11.6
Trey Murphy III,UVA,25,29.6,3.8,7.6,0.503,2.1,4.8,0.433,1.5,1.6,0.927,0.8,2,0.6,2.8,3.4,1.2,0.8,0.4,11.3
Jalen Johnson,DUKE,13,21.4,4.4,8.4,0.523,0.6,1.4,0.444,1.8,2.9,0.632,2.5,2.2,1.5,4.5,6.1,2.2,1.2,1.2,11.2
Nahiem Alleyne,VT,22,28.4,3.5,9,0.392,1.9,4.7,0.408,2.1,2.6,0.807,1.5,2.1,0.2,2.5,2.6,1.7,0.7,0.1,11.1
Rich Kelly,BC,16,25.3,3.8,8.9,0.427,2,5.4,0.372,1.4,1.7,0.815,1.9,2.1,0.2,1.4,1.7,2.4,0.9,0.1,11
Tariq Ingraham,WF,2,12.5,4,4.5,0.889,0,0,0,3,3,1,1,3,2.5,0,2.5,0.5,0.5,0,11
Ian DuBose,WF,11,24.5,3.7,8.2,0.456,1.2,3.3,0.361,2.3,3.8,0.595,1.5,2.5,0.6,4,4.6,2.4,1.4,0.2,10.9
Juwan Durham,ND,26,24,4.5,7.5,0.602,0,0.1,0,1.6,2.3,0.7,1,2.2,1.5,4,5.5,1.3,0.7,1.9,10.7
Caleb Love,UNC,29,27.8,3.6,11.3,0.316,1.2,4.4,0.266,2.2,2.7,0.808,3.1,2.1,0.4,2.2,2.6,3.6,1.2,0.3,10.5
